Country,12/2016,12/2017,%,Change,2016,2017,%,Change,,
SWITZERLAND,0,0,0,%,"13,627","7,140",-47.6,%,,
CAMEROON,0,0,0,%,"2,611","6,166",136.2,%,,
BELARUS,0,0,0,%,0,"6,103",0,%,,
BURMA,0,0,0,%,"5,075","5,148",1.4,%,,
CAMBODIA,0,0,0,%,0,"5,021",0,%,,
HUNGARY,0,0,0,%,0,"3,772",0,%,,
CYPRUS,0,0,0,%,"5,524","3,693",-33.2,%,,
ERITREA,0,"3,469",0,%,"3,348","3,469",3.6,%,,
REPUBLIC,SOUTH,AFRICA,0,0,0,%,"2,463","3,445",39.9,%
LATVIA,0,0,0,%,0,"3,170",0,%,,
MALTA,0,0,0,%,0,"3,164",0,%,,
JORDAN,0,0,0,%,0,"3,013",0,%,,
SEYCHELLES,0,0,0,%,0,"2,970",0,%,,
NEPAL,0,"2,302",0,%,0,"2,302",0,%,,
BOSNIA,0,0,0,%,"2,373","1,921",-19,%,,
GEORGIA,0,0,0,%,"2,318","1,744",-24.8,%,,
ALBANIA,0,0,0,%,0,"1,506",0,%,,
CAYMAN,ISLANDS,0,0,0,%,0,26,0,%,
CHILE,0,0,0,%,"20,034",0,0,%,,
FINLAND,0,0,0,%,"4,774",0,0,%,,
MOZAMBIQUE,"1,891",0,0,%,"1,891",0,0,%,,
NAMIBIA,0,0,0,%,299,0,0,%,,
